2024-09-02 11:15:24,096 - DEBUG - Initializing HTTP session.
2024-09-02 11:15:33,636 - INFO - C98USDT has been tested. win rate: 0.4, trade count: 10
2024-09-02 11:15:33,773 - INFO - CAKEUSDT has been tested. win rate: 0.625, trade count: 8
2024-09-02 11:15:33,913 - INFO - CEEKUSDT has been tested. win rate: 0.7435897435897436, trade count: 39
2024-09-02 11:15:34,054 - INFO - CELOUSDT has been tested. win rate: 0.4, trade count: 5
2024-09-02 11:15:34,192 - INFO - CETUSUSDT has been tested. win rate: 0.6666666666666666, trade count: 12
2024-09-02 11:15:34,330 - INFO - CFXUSDT has been tested. win rate: 0.2727272727272727, trade count: 11
2024-09-02 11:15:34,467 - INFO - CHZUSDT has been tested. win rate: 0.6, trade count: 10
2024-09-02 11:15:34,593 - INFO - CLOUDUSDT has been tested. win rate: 0.5991379310344828, trade count: 232
2024-09-02 11:15:34,731 - INFO - COMBOUSDT has been tested. win rate: 0.3333333333333333, trade count: 12
2024-09-02 11:15:34,872 - INFO - COREUSDT has been tested. win rate: 0.6, trade count: 5
2024-09-02 11:15:35,008 - INFO - COTIUSDT has been tested. win rate: 0.3333333333333333, trade count: 12
2024-09-02 11:15:35,146 - INFO - CROUSDT has been tested. win rate: 0.6666666666666666, trade count: 3
2024-09-02 11:15:35,282 - INFO - CRVUSDT has been tested. win rate: 0.5714285714285714, trade count: 7
2024-09-02 11:15:35,418 - INFO - CTKUSDT has been tested. win rate: 0.9090909090909091, trade count: 11
2024-09-02 11:15:35,555 - INFO - CTSIUSDT has been tested. win rate: 0.5333333333333333, trade count: 15
2024-09-02 11:15:35,693 - INFO - CVCUSDT has been tested. win rate: 0.75, trade count: 4
2024-09-02 11:15:35,831 - INFO - CVXUSDT has been tested. win rate: 0.6190476190476191, trade count: 21
2024-09-02 11:15:35,965 - INFO - DAOUSDT has been tested. win rate: 0.6666666666666666, trade count: 12
2024-09-02 11:15:36,103 - INFO - DARUSDT has been tested. win rate: 0.5909090909090909, trade count: 22
2024-09-02 11:15:36,238 - INFO - DATAUSDT has been tested. win rate: 0.6301369863013698, trade count: 73
2024-09-02 11:15:36,376 - INFO - DODOUSDT has been tested. win rate: 0.5517241379310345, trade count: 29
2024-09-02 11:15:36,511 - INFO - DOGEUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:36,648 - INFO - DOTUSDT has been tested. win rate: 0.5, trade count: 6
