index,Trade Count,Win Rate,Lowest Value,Profit Rate Peak,Final Profit Rate,Max Profit Rate Single Trade,Max Loss Rate Single Trade,Max Streak,Max Loss Streak,Max Draw Down,Profit Factor
0,25,0.28,6922.510762719989,0.7933567718708241,-0.3077489237280011,0.2200195572939816,-0.22069798068481117,2,8,0.6139914337570183,0.7701766534661152
1,59,0.3559322033898305,6023.589040920724,1.2973577744566231,-0.38112204860792753,0.2845647403072422,-0.29327695560253697,2,8,0.7378036147484499,0.9036111634658498
2,41,0.36585365853658536,4858.62292743335,1.44373493881521,-0.5141377072566651,0.20600600600600605,-0.29327695560253697,2,9,0.8011804451349809,0.8179720288318139
3,39,0.41025641025641024,1488.8398628462512,0.7284922157578759,-0.8507359347153749,0.24882211752155747,-0.48076748439993255,4,9,0.913864821069301,0.6630202233591765
4,42,0.3333333333333333,1380.1926130683403,1.1947856263078345,-0.8314500718117159,0.21454633909024579,-0.48076748439993255,3,11,0.9371149238210494,0.6848877087774449
5,36,0.3333333333333333,1206.148046107639,0.8999528874323646,-0.8793851953892361,0.17475987193169673,-0.48076748439993255,4,12,0.9365169497577568,0.6071360602371955
6,0,0,9738.283845150445,0.03037976450414437,0.011183424507844375,0,0,0,0,0.05345419349330314,0
7,44,0.36363636363636365,830.8377383753901,0.9284880784778398,-0.916704147162461,0.26664228237015375,-0.48076748439993255,3,11,0.9569176627199494,0.6977858540095423
8,43,0.32558139534883723,1323.4991084142941,1.2942947348883314,-0.8676500891585706,0.23778501628664506,-0.48076748439993255,2,9,0.9423134661694322,0.7281187038823659
9,31,0.25806451612903225,2389.8227025282326,0.765939897565475,-0.7544639324471767,0.22979820428482522,-0.284975,3,15,0.8646713455071239,0.5410640545923114
10,106,0.4528301886792453,9992.511582202,11.080964945997263,0.9518682043881836,0.3066506220128131,-0.48076748439993255,6,7,0.8561754250531286,1.1211425578687177
11,0,0,9738.283845150445,0.03037976450414437,0.011183424507844375,0,0,0,0,0.05345419349330314,0
12,47,0.40425531914893614,6425.305414235245,2.4025575240008505,-0.35582727957647553,0.3327909647779479,-0.48076748439993255,4,7,0.8111624750231956,0.9417424396216799
13,35,0.42857142857142855,1965.3023619257576,1.8877189441490767,-0.8029678848074242,0.18059875583203744,-0.48076748439993255,4,9,0.9319427409683433,0.6916685877845353
14,96,0.46875,9992.508174436749,6.447776408346492,1.715079343438466,0.29423975090814736,-0.29327695560253697,5,7,0.6942313066178625,1.3118195628175109
15,72,0.3611111111111111,2755.5341946132653,1.306077738288852,-0.6973080713226235,0.28230409963674097,-0.29552499577298086,6,9,0.8805099173864834,0.8380105052046454
16,78,0.4358974358974359,7307.738950169471,1.8312943484200979,-0.23581152190372845,0.28230409963674097,-0.29552499577298086,4,8,0.7418940579510113,0.9779144083333766
17,61,0.39344262295081966,7744.679625775239,1.5321662799601241,0.2772526586055224,0.4995088838534627,-0.22069798068481117,3,7,0.5090500291611578,1.181100206087734
18,34,0.35294117647058826,1561.3372706798546,1.333214529170986,-0.8422556419320145,0.1960309777347531,-0.48076748439993255,3,11,0.9330821383477921,0.5929565467351159
19,81,0.41975308641975306,9682.78382934498,2.744051029825701,0.06181421544017285,0.391217258709206,-0.29327695560253697,3,8,0.7413821619360847,1.05386136238073
20,84,0.40476190476190477,5137.018030502536,1.582893889832929,-0.41869523623057137,0.28230409963674097,-0.29327695560253697,6,8,0.8011138571846319,0.9200559471448155
21,62,0.4838709677419355,9756.716573034,5.536271434489706,0.3530162501648273,0.3258979628690095,-0.29552499577298086,4,6,0.8176086189722205,1.10940784086474
22,76,0.35526315789473684,6062.417728493491,2.296565873998577,-0.3937582271506509,0.34542449547668763,-0.29552499577298086,5,7,0.8160989963431227,0.9541004561698316
23,82,0.5487804878048781,9756.716573034,9.150525338002348,2.7402411245981706,0.3258979628690095,-0.29327695560253697,6,4,0.6877866614097741,1.4533929622176758
24,58,0.41379310344827586,2266.242752448699,2.67890122875722,-0.75621186575513,0.24291497975708487,-0.48076748439993255,4,10,0.9383989237130385,0.8161183166558521
25,53,0.39622641509433965,2418.5237839415163,1.5402363884124033,-0.6841940855864483,0.2889330798678942,-0.48076748439993255,4,9,0.9047913889048316,0.8136464852676876
